Rank,Company,City,State,Industry,Revenue,Growth
22,vAuto (http://www.inc.com/inc5000/2009/company-profile.html?id=200900220),Oak Brook,IL,Software,15600000.00,4659.9%
731,SRS (http://www.inc.com/inc5000/2009/company-profile.html?id=200907310),Gallatin,TN,Construction,20300000.00,392%
1205,EthicsPoint (http://www.inc.com/inc5000/2009/company-profile.html?id=200912050),Portland,OR,Software,12900000.00,264.4%
1783,EnerSys (http://www.inc.com/inc5000/2009/company-profile.html?id=200917830),Houston,TX,Energy,2800000.00,178.2%
4222,Training Camp (http://www.inc.com/inc5000/2009/company-profile.html?id=200942220),Trevose,PA,Education,16300000.00,41.9%
4559,Regitar USA (http://www.inc.com/inc5000/2009/company-profile.html?id=200945590),Montgomery,AL,Manufacturing,23100000.00,27.9%
1,Northern Capital Insurance (http://www.inc.com/inc5000/2009/company-profile.html?id=200900010),Miami,FL,Insurance,95000000.00,19812.2%
2,National Retirement Partners (http://www.inc.com/inc5000/2009/company-profile.html?id=200900020),San Juan Capistrano,CA,Financial Services,47400000.00,13416.4%
3,Harley Stanfield (http://www.inc.com/inc5000/2009/company-profile.html?id=200900030),Washington,DC,Real Estate,38400000.00,13350.4%
4,Perfect Fitness (http://www.inc.com/inc5000/2009/company-profile.html?id=200900040),Mill Valley,CA,Consumer Products & Services,63500000.00,12749.3%
5,IntegraClick (http://www.inc.com/inc5000/2009/company-profile.html?id=200900050),Sarasota,FL,Advertising & Marketing,96400000.00,12654.4%
6,Kiva Systems (http://www.inc.com/inc5000/2009/company-profile.html?id=200900060),Woburn,MA,Logistics & Transportation,21400000.00,10399%
7,Freedom Health (http://www.inc.com/inc5000/2009/company-profile.html?id=200900070),Tampa,FL,Insurance,182800000.00,10035.3%
8,One Technologies (http://www.inc.com/inc5000/2009/company-profile.html?id=200900080),Dallas,TX,Advertising & Marketing,50700000.00,9946.4%
9,MediaTrust (http://www.inc.com/inc5000/2009/company-profile.html?id=200900090),New York,NY,Advertising & Marketing,38300000.00,9481.1%
10,Criterion Systems (http://www.inc.com/inc5000/2009/company-profile.html?id=200900100),Vienna,VA,Government Services,20300000.00,8433.6%
11,ProKarma (http://www.inc.com/inc5000/2009/company-profile.html?id=200900110),Beaverton,OR,IT Services,47300000.00,8311.4%
12,Canopy Financial (http://www.inc.com/inc5000/2009/company-profile.html?id=200900120),San Francisco,CA,Software,19800000.00,7929.1%
