STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Q St,NW,14th St,Connecticut Ave,7,Pavement Resurface/restoration,2004,100,Completed,0.67,2,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,08/31/2004 07:00:00 AM +0000,,396693.04284,138141.09737,38.9111265940711,-77.0381291882532,,FedAid_6YR_CIP,,4892,,,
Shepherd St,NW,8th St,Georgia Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.09,4,LOCAL,03/31/2004 08:00:00 AM +0000,08/31/2004 07:00:00 AM +0000,08/31/2004 07:00:00 AM +0000,,397910.06435,141319.74307,38.9397645758786,-77.0241066194438,N/A,Citywide Pavement Restoration,Paul Stephenson,6145,R. Oleve & W. Lester,N/A,202 671 4581
N St,NE,New York Ave,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.17,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,399352.09088,137708.83001,38.9072385637513,-77.0074699792891,,,,5132,,,
7th St,NE,G St,H St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,400332.38729,136856.05507,38.8995566420547,-76.9961681990383,,CIP_2004-2009,,4653,,,
7th St,NE,H St,K St,2,Pavement Resurface/restoration,2004,100,Completed,0.16,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,400332.48,137056.10502,38.9013587635304,-76.9961670334349,,CIP_2004-2009,,4827,,,
R St,SW,Half St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.1,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,399008.27606,133516.8494,38.8694753020742,-77.0114278947722,,,,3548,,,
Bladensburg Rd,NE,Benning Rd,Mount Olivet Rd,10,Pavement Resurface/restoration,2004,100,Completed,0.51,5,MINOR ARTERIAL,,,09/01/2004 07:00:00 AM +0000,IDIQ,401628.37434,137285.27894,38.9034217980369,-76.9812268859506,,,,5944,,,
V St,SW,Half St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,398992.0846,132978.38652,38.864624589241,-77.0116136838274,,CIP_2004-2009,,4186,,,
7th St,NE,K St,L St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,400332.69584,137251.70499,38.9031207973841,-76.9961644503988,,CIP_2004-2009,,4135,,,
Half St,SW,I St,M St,3,Pavement Resurface/restoration,2004,100,Completed,0.19,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,399075.97539,134448.81081,38.8778708569038,-77.0106490304226,,CIP_2004-2009,,4493,,,
Half St,SW,Water St,V St,1,Pavement Resurface/restoration,2004,100,Completed,0.12,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,399073.05693,133063.50796,38.8653914874133,-77.0106807966358,,CIP_2004-2009,,4494,,,
