STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00010425,"AUBURN NUMBER 2, AL US",1/1/2017,1.6,61,42,60
USC00010425,"AUBURN NUMBER 2, AL US",1/2/2017,4.19,63,46,59
USC00010425,"AUBURN NUMBER 2, AL US",1/3/2017,0,65,43,49
USC00010425,"AUBURN NUMBER 2, AL US",1/4/2017,0,55,41,41
USC00010425,"AUBURN NUMBER 2, AL US",1/5/2017,0.01,66,26,48
USC00010425,"AUBURN NUMBER 2, AL US",1/6/2017,1.41,49,32,32
USC00010425,"AUBURN NUMBER 2, AL US",1/7/2017,0.03,33,16,23
USC00010425,"AUBURN NUMBER 2, AL US",1/8/2017,0,37,8,30
USC00010425,"AUBURN NUMBER 2, AL US",1/9/2017,0,47,14,35
USC00010425,"AUBURN NUMBER 2, AL US",1/10/2017,0,55,20,41
USC00010425,"AUBURN NUMBER 2, AL US",1/11/2017,0.01,71,23,50
USC00010425,"AUBURN NUMBER 2, AL US",1/12/2017,0,73,47,53
USC00010425,"AUBURN NUMBER 2, AL US",1/13/2017,0,76,49,52
USC00010425,"AUBURN NUMBER 2, AL US",1/14/2017,0,74,48,52
USC00010425,"AUBURN NUMBER 2, AL US",1/15/2017,0,73,47,54
USC00010425,"AUBURN NUMBER 2, AL US",1/16/2017,0,76,47,56
USC00010425,"AUBURN NUMBER 2, AL US",1/17/2017,0,76,51,60
USC00010425,"AUBURN NUMBER 2, AL US",1/18/2017,0,73,36,57
USC00010425,"AUBURN NUMBER 2, AL US",1/19/2017,0.33,73,52,63
USC00010425,"AUBURN NUMBER 2, AL US",1/20/2017,0,70,47,51
USC00010425,"AUBURN NUMBER 2, AL US",1/21/2017,1.76,65,36,59
USC00010425,"AUBURN NUMBER 2, AL US",1/22/2017,0.66,66,48,49
USC00010425,"AUBURN NUMBER 2, AL US",1/23/2017,0.14,63,49,50
USC00010425,"AUBURN NUMBER 2, AL US",1/24/2017,0,63,42,42
USC00010425,"AUBURN NUMBER 2, AL US",1/25/2017,0,71,39,63
USC00010425,"AUBURN NUMBER 2, AL US",1/26/2017,0.38,64,37,37
USC00010425,"AUBURN NUMBER 2, AL US",1/27/2017,0.02,47,31,34
USC00010425,"AUBURN NUMBER 2, AL US",1/28/2017,0,49,29,34
USC00010425,"AUBURN NUMBER 2, AL US",1/29/2017,0,56,28,40
USC00010425,"AUBURN NUMBER 2, AL US",1/30/2017,0,59,30,39
USC00010425,"AUBURN NUMBER 2, AL US",1/31/2017,0,71,37,47
USC00010425,"AUBURN NUMBER 2, AL US",2/1/2017,0,70,42,49
USC00010425,"AUBURN NUMBER 2, AL US",2/2/2017,0,70,45,56
USC00010425,"AUBURN NUMBER 2, AL US",2/3/2017,0,71,31,35
USC00010425,"AUBURN NUMBER 2, AL US",2/4/2017,0,53,32,38
USC00010425,"AUBURN NUMBER 2, AL US",2/5/2017,0.06,54,38,50
USC00010425,"AUBURN NUMBER 2, AL US",2/6/2017,0.01,57,46,53
