MLSID,Address,Subdivision,Price,SqFt,Bedrooms,BathsFull,BathsHalf,DaysOnMarket,Agent,Firm
R84667S,901 OGLETREE ROAD,WINDWAY,1550000,4182,3,5,0,3361,A1,F132 
R123958S,2351 HAMILTON ROAD,AUBURN,1250000,3898,5,4,1,1,A2,F360 
R117585S,916 LEE ROAD 23,CHEWACLA CREEK,1150000,2519,4,3,0,218,A3,F278 
R122283S,2564 DANBURY DRIVE,WHITE OAKS,1025000,4956,6,5,0,153,A4,F312 
R117291S,1650 St Andrews COURT,MOORES MILL GOLF CLUB,995000,5465,4,5,1,35,A5,F360 
R119012S,1746 BELCASTEL COURT,MOORES MILL GOLF CLUB,928500,4450,5,5,1,159,A6,F96 
R112320S,2045 WINDING WAY,STONERIDGE,885000,8005,5,6,1,493,A7,F177 
R125300S,419 PINEDALE DRIVE,PINEDALE PARK,875000,5620,7,5,1,5,A6,F96 
R122834S,2229 BRENTON LANE,ASHETON PARK,870000,6009,5,3,2,27,A8,F96 
R117346S,271 GRAYSTONE LANE,BENT CREEK,850000,7847,5,5,2,33,A9,F155 
R114493S,1723 GLENDALE CIRCLE,EAST LAKE,850000,5500,6,5,0,94,A10,F52 
R114018S,162 GREAT ELLIS LANE,PLAINSMAN HILLS,790000,7000,5,5,0,390,A11,F177 
R125256S,361 S GAY STREET,CHAMBERS MAP,770000,2467,5,4,0,4,A10,F52 
R116619S,2637 DANBURY DRIVE,WHITE OAKS,760000,5487,6,5,1,32,A12,F177 
R120876S,1539 LAKEWOOD PLACE,GROVE HILL,759000,6354,6,5,2,27,A13,F137 
R117634S,1730 COVINGTON RIDGE,MOORES MILL,709000,5020,5,4,0,75,A8,F96 
N122395S,2088 EAST LAKE BOULEVARD,EAST LAKE,705321,4077,5,4,1,80,A14,F96 
R119378S,544 HAMILTON HILLS DRIVE,HAMILTON HILLS,700000,6913,4,3,2,8,A15,F516 
N126586S,1563 ELLA GRACE DRIVE,YARBROUGH FARMS,687465,5419,5,4,2,186,A7,F177 
