Price Indexes of New Single-Family Houses Under Construction,,
,,
Date,Laspeyres (Fixed),Fisher (Deflator)
1/1/1964, 12.2 , 11.8 
2/1/1964, 12.1 , 11.7 
3/1/1964, 12.0 , 11.6 
4/1/1964, 12.2 , 11.8 
5/1/1964, 12.3 , 12.0 
6/1/1964, 12.4 , 12.0 
7/1/1964, 12.4 , 12.0 
8/1/1964, 12.3 , 12.0 
9/1/1964, 12.3 , 11.9 
10/1/1964, 12.6 , 12.1 
11/1/1964, 12.7 , 12.3 
12/1/1964, 12.8 , 12.3 
1/1/1965, 12.7 , 12.3 
2/1/1965, 12.6 , 12.2 
3/1/1965, 12.6 , 12.1 
4/1/1965, 12.6 , 12.2 
5/1/1965, 12.6 , 12.3 
6/1/1965, 12.8 , 12.3 
7/1/1965, 12.6 , 12.3 
8/1/1965, 12.6 , 12.2 
9/1/1965, 12.6 , 12.2 
10/1/1965, 13.0 , 12.4 
11/1/1965, 13.2 , 12.8 
12/1/1965, 13.3 , 12.8 
1/1/1966, 13.0 , 12.6 
2/1/1966, 12.8 , 12.4 
3/1/1966, 12.8 , 12.4 
4/1/1966, 13.3 , 12.8 
5/1/1966, 13.6 , 13.2 
6/1/1966, 13.6 , 13.2 
7/1/1966, 13.4 , 13.0 
8/1/1966, 13.4 , 12.9 
9/1/1966, 13.3 , 12.8 
10/1/1966, 13.6 , 13.1 
11/1/1966, 13.7 , 13.2 
12/1/1966, 13.9 , 13.4 
1/1/1967, 13.7 , 13.2 
2/1/1967, 13.6 , 13.2 
3/1/1967, 13.6 , 13.2 
4/1/1967, 13.6 , 13.2 
5/1/1967, 13.7 , 13.2 
6/1/1967, 13.7 , 13.2 
7/1/1967, 13.7 , 13.3 
8/1/1967, 13.8 , 13.3 
9/1/1967, 13.9 , 13.4 
10/1/1967, 13.9 , 13.5 
11/1/1967, 14.1 , 13.6 
12/1/1967, 14.2 , 13.8 
1/1/1968, 14.3 , 13.8 
2/1/1968, 14.3 , 13.9 
3/1/1968, 14.3 , 13.9 
4/1/1968, 14.4 , 13.9 
5/1/1968, 14.5 , 14.0 
6/1/1968, 14.5 , 14.0 
7/1/1968, 14.3 , 13.9 
8/1/1968, 14.4 , 13.9 
9/1/1968, 14.5 , 14.0 
10/1/1968, 14.8 , 14.3 
11/1/1968, 15.1 , 14.6 
12/1/1968, 15.4 , 14.9 
1/1/1969, 15.2 , 14.7 
2/1/1969, 15.2 , 14.7 
3/1/1969, 15.4 , 14.9 
4/1/1969, 15.4 , 14.9 
5/1/1969, 15.6 , 15.0 
6/1/1969, 15.4 , 14.9 
7/1/1969, 15.5 , 15.0 
8/1/1969, 15.4 , 14.9 
9/1/1969, 15.4 , 14.9 
10/1/1969, 15.6 , 15.1 
11/1/1969, 15.7 , 15.2 
12/1/1969, 15.8 , 15.3 
1/1/1970, 15.6 , 15.1 
2/1/1970, 15.6 , 15.0 
3/1/1970, 15.7 , 15.2 
4/1/1970, 16.1 , 15.6 
5/1/1970, 16.3 , 15.8 
6/1/1970, 16.7 , 16.1 
7/1/1970, 16.0 , 15.5 
8/1/1970, 15.6 , 15.1 
9/1/1970, 15.5 , 15.0 
10/1/1970, 15.6 , 15.1 
11/1/1970, 15.8 , 15.3 
12/1/1970, 16.0 , 15.5 
1/1/1971, 15.9 , 15.4 
2/1/1971, 16.4 , 15.8 
3/1/1971, 16.5 , 15.9 
4/1/1971, 16.6 , 15.9 
5/1/1971, 16.6 , 16.0 
6/1/1971, 16.7 , 16.1 
7/1/1971, 16.7 , 16.2 
8/1/1971, 17.2 , 16.5 
9/1/1971, 17.1 , 16.5 
10/1/1971, 17.2 , 16.6 
11/1/1971, 17.3 , 16.7 
12/1/1971, 17.5 , 16.9 
1/1/1972, 17.6 , 16.9 
2/1/1972, 17.6 , 17.0 
3/1/1972, 17.6 , 17.1 
4/1/1972, 17.6 , 17.1 
5/1/1972, 17.6 , 17.1 
6/1/1972, 17.7 , 17.1 
7/1/1972, 17.9 , 17.3 
8/1/1972, 18.0 , 17.5 
9/1/1972, 18.2 , 17.5 
10/1/1972, 18.5 , 17.9 
11/1/1972, 18.7 , 18.0 
12/1/1972, 18.9 , 18.3 
1/1/1973, 18.9 , 18.3 
2/1/1973, 18.9 , 18.3 
3/1/1973, 19.1 , 18.3 
4/1/1973, 19.3 , 18.7 
5/1/1973, 19.5 , 18.7 
6/1/1973, 19.6 , 18.9 
7/1/1973, 19.9 , 19.2 
8/1/1973, 20.2 , 19.5 
9/1/1973, 20.4 , 19.7 
10/1/1973, 20.5 , 19.8 
11/1/1973, 20.6 , 19.9 
12/1/1973, 20.6 , 19.9 
1/1/1974, 20.8 , 20.0 
2/1/1974, 20.9 , 20.2 
3/1/1974, 21.4 , 20.7 
4/1/1974, 21.1 , 20.3 
5/1/1974, 21.3 , 20.5 
6/1/1974, 21.8 , 21.1 
7/1/1974, 22.0 , 21.2 
8/1/1974, 22.0 , 21.2 
9/1/1974, 22.1 , 21.3 
10/1/1974, 22.4 , 21.5 
11/1/1974, 22.6 , 21.9 
12/1/1974, 22.8 , 21.9 
1/1/1975, 23.1 , 22.3 
2/1/1975, 23.1 , 22.3 
3/1/1975, 23.1 , 22.3 
4/1/1975, 23.3 , 22.6 
5/1/1975, 23.7 , 22.9 
6/1/1975, 23.8 , 23.1 
7/1/1975, 23.8 , 23.1 
8/1/1975, 23.7 , 22.9 
9/1/1975, 23.9 , 23.1 
10/1/1975, 24.0 , 23.2 
11/1/1975, 24.2 , 23.4 
12/1/1975, 24.4 , 23.6 
1/1/1976, 24.2 , 23.4 
2/1/1976, 24.2 , 23.4 
3/1/1976, 24.3 , 23.5 
4/1/1976, 24.6 , 23.9 
5/1/1976, 25.1 , 24.3 
6/1/1976, 25.4 , 24.5 
7/1/1976, 25.5 , 24.7 
8/1/1976, 25.5 , 24.6 
9/1/1976, 25.5 , 24.6 
10/1/1976, 25.7 , 24.8 
11/1/1976, 25.9 , 25.0 
12/1/1976, 26.1 , 25.2 
1/1/1977, 26.6 , 25.6 
2/1/1977, 26.8 , 25.7 
3/1/1977, 27.0 , 25.8 
4/1/1977, 27.2 , 26.0 
5/1/1977, 27.6 , 26.4 
6/1/1977, 27.9 , 26.9 
7/1/1977, 28.3 , 27.2 
8/1/1977, 28.5 , 27.6 
9/1/1977, 28.7 , 27.8 
10/1/1977, 29.0 , 28.0 
11/1/1977, 29.3 , 28.2 
12/1/1977, 29.7 , 28.5 
1/1/1978, 30.0 , 28.9 
2/1/1978, 30.3 , 29.2 
3/1/1978, 30.5 , 29.6 
4/1/1978, 30.8 , 30.0 
5/1/1978, 31.2 , 30.2 
6/1/1978, 31.3 , 30.6 
7/1/1978, 31.6 , 30.9 
8/1/1978, 32.0 , 31.2 
9/1/1978, 32.5 , 31.4 
10/1/1978, 32.9 , 31.7 
11/1/1978, 33.3 , 32.0 
12/1/1978, 33.6 , 32.2 
1/1/1979, 33.9 , 32.4 
2/1/1979, 34.2 , 32.5 
3/1/1979, 34.4 , 32.8 
4/1/1979, 34.8 , 33.2 
5/1/1979, 35.2 , 33.8 
6/1/1979, 35.7 , 34.4 
7/1/1979, 36.2 , 34.8 
8/1/1979, 36.5 , 35.2 
9/1/1979, 36.8 , 35.4 
10/1/1979, 37.0 , 35.6 
11/1/1979, 37.3 , 35.8 
12/1/1979, 37.6 , 36.1 
1/1/1980, 38.1 , 36.5 
2/1/1980, 38.4 , 36.7 
3/1/1980, 38.6 , 37.0 
4/1/1980, 39.0 , 37.3 
5/1/1980, 39.2 , 37.4 
6/1/1980, 39.6 , 37.7 
7/1/1980, 40.1 , 38.0 
8/1/1980, 40.3 , 38.1 
9/1/1980, 40.5 , 38.5 
10/1/1980, 40.7 , 38.9 
11/1/1980, 41.0 , 39.3 
12/1/1980, 41.3 , 39.5 
1/1/1981, 41.6 , 39.8 
2/1/1981, 41.9 , 40.1 
3/1/1981, 42.0 , 40.1 
4/1/1981, 42.3 , 40.3 
5/1/1981, 42.6 , 40.4 
6/1/1981, 42.7 , 40.5 
7/1/1981, 42.7 , 40.7 
8/1/1981, 42.8 , 40.7 
9/1/1981, 43.0 , 40.8 
10/1/1981, 43.2 , 40.9 
11/1/1981, 43.5 , 41.1 
12/1/1981, 43.5 , 41.0 
1/1/1982, 43.4 , 41.3 
2/1/1982, 43.4 , 41.3 
3/1/1982, 43.5 , 41.5 
4/1/1982, 43.6 , 41.5 
5/1/1982, 43.5 , 41.7 
6/1/1982, 43.4 , 41.7 
7/1/1982, 43.2 , 41.7 
8/1/1982, 43.4 , 42.0 
9/1/1982, 43.6 , 42.3 
10/1/1982, 43.5 , 42.1 
11/1/1982, 43.7 , 42.1 
12/1/1982, 43.7 , 42.2 
1/1/1983, 44.0 , 42.5 
2/1/1983, 44.1 , 42.7 
3/1/1983, 44.0 , 42.8 
4/1/1983, 44.0 , 42.6 
5/1/1983, 44.3 , 42.5 
6/1/1983, 44.4 , 42.6 
7/1/1983, 44.6 , 42.7 
8/1/1983, 44.7 , 42.8 
9/1/1983, 44.9 , 42.9 
10/1/1983, 45.2 , 43.3 
11/1/1983, 45.4 , 43.3 
12/1/1983, 45.6 , 43.4 
1/1/1984, 45.8 , 43.8 
2/1/1984, 46.0 , 44.1 
3/1/1984, 46.1 , 44.2 
4/1/1984, 46.1 , 44.1 
5/1/1984, 46.2 , 44.1 
6/1/1984, 46.5 , 44.2 
