Constant Quality (Laspeyres) Price Index of New Single-Family Houses Under Construction,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Annual    ,,Monthly,,,,,,,,,,,
,Annual index,Percent change,January,February,March,April,May,June,July,August,September,October,November,December
1964,12.4,(X),12.2,12.1,12.0,12.2,12.3,12.4,12.4,12.3,12.3,12.6,12.7,12.8
1965,12.8,3.2%,12.7,12.6,12.6,12.6,12.6,12.8,12.6,12.6,12.6,13.0,13.2,13.3
1966,13.4,4.7%,13.0,12.8,12.8,13.3,13.6,13.6,13.4,13.4,13.3,13.6,13.7,13.9
1967,13.8,3.0%,13.7,13.6,13.6,13.6,13.7,13.7,13.7,13.8,13.9,13.9,14.1,14.2
1968,14.6,5.8%,14.3,14.3,14.3,14.4,14.5,14.5,14.3,14.4,14.5,14.8,15.1,15.4
1969,15.5,6.2%,15.2,15.2,15.4,15.4,15.6,15.4,15.5,15.4,15.4,15.6,15.7,15.8
1970,15.9,2.6%,15.6,15.6,15.7,16.1,16.3,16.7,16.0,15.6,15.5,15.6,15.8,16.0
1971,16.8,5.7%,15.9,16.4,16.5,16.6,16.6,16.7,16.7,17.2,17.1,17.2,17.3,17.5
1972,18.0,7.1%,17.6,17.6,17.6,17.6,17.6,17.7,17.9,18.0,18.2,18.5,18.7,18.9
1973,19.8,10.0%,18.9,18.9,19.1,19.3,19.5,19.6,19.9,20.2,20.4,20.5,20.6,20.6
1974,21.8,10.1%,20.8,20.9,21.4,21.1,21.3,21.8,22.0,22.0,22.1,22.4,22.6,22.8
1975,23.7,8.7%,23.1,23.1,23.1,23.3,23.7,23.8,23.8,23.7,23.9,24.0,24.2,24.4
1976,25.2,6.3%,24.2,24.2,24.3,24.6,25.1,25.4,25.5,25.5,25.5,25.7,25.9,26.1
1977,28.2,11.9%,26.6,26.8,27.0,27.2,27.6,27.9,28.3,28.5,28.7,29.0,29.3,29.7
1978,31.7,12.4%,30.0,30.3,30.5,30.8,31.2,31.3,31.6,32.0,32.5,32.9,33.3,33.6
1979,35.7,12.6%,33.9,34.2,34.4,34.8,35.2,35.7,36.2,36.5,36.8,37.0,37.3,37.6
1980,39.8,11.5%,38.1,38.4,38.6,39.0,39.2,39.6,40.1,40.3,40.5,40.7,41.0,41.3
1981,42.6,7.0%,41.6,41.9,42.0,42.3,42.6,42.7,42.7,42.8,43.0,43.2,43.5,43.5
1982,43.4,1.9%,43.4,43.4,43.5,43.6,43.5,43.4,43.2,43.4,43.6,43.5,43.7,43.7
1983,44.7,3.0%,44.0,44.1,44.0,44.0,44.3,44.4,44.6,44.7,44.9,45.2,45.4,45.6
1984,46.7,4.5%,45.8,46.0,46.1,46.1,46.2,46.5,46.5,46.9,47.3,47.5,47.6,47.5
1985,47.9,2.6%,47.7,47.5,47.6,47.5,47.4,47.5,47.6,47.8,48.0,48.2,48.4,48.8
1986,50.4,5.2%,49.1,49.2,49.3,49.5,49.8,50.2,50.4,50.6,50.8,51.1,51.5,51.8
1987,52.7,4.6%,52.1,52.1,52.2,52.4,52.4,52.6,52.7,52.8,52.8,53.0,53.3,53.7
1988,54.5,3.4%,54.1,54.3,54.1,54.1,54.3,54.3,54.3,54.5,54.8,54.9,55.2,55.2
1989,56.4,3.5%,55.4,55.6,55.8,56.1,56.3,56.3,56.5,56.6,56.8,56.8,56.8,57.0
1990,58.0,2.8%,57.2,57.4,57.5,57.6,57.6,57.9,58.2,58.2,58.2,58.1,58.5,58.5
1991,58.2,0.3%,58.5,58.4,58.0,57.9,58.0,58.3,58.4,58.5,58.6,58.3,58.2,58.1
1992,58.9,1.2%,58.4,58.4,58.4,58.5,58.4,58.5,58.5,58.7,58.9,59.4,59.7,60.0
1993,61.8,4.9%,60.4,60.7,60.8,60.9,61.1,61.4,61.8,61.9,62.1,62.5,63.0,63.2
1994,64.6,4.5%,63.3,63.5,63.5,63.5,63.8,64.2,64.4,64.7,65.1,65.5,66.0,66.7
1995,67.3,4.2%,67.0,67.0,67.0,67.0,67.2,67.3,67.2,67.4,67.6,67.7,67.6,67.6
1996,68.6,1.9%,67.9,67.9,67.9,67.7,67.9,68.3,68.8,69.0,69.0,69.2,69.3,69.4
1997,70.6,2.9%,69.8,69.8,69.8,70.0,70.1,70.3,70.6,70.7,71.2,71.4,71.6,71.6
1998,72.5,2.7%,71.6,71.4,71.4,71.7,71.8,72.4,72.7,72.7,72.7,73.0,73.5,74.0
1999,72.7,0.3%,71.3,71.4,71.7,72.0,72.4,72.7,73.0,73.2,73.2,73.4,73.5,73.8
2000,75.9,4.4%,74.7,75.0,75.2,75.3,75.5,75.9,76.0,76.1,76.4,76.5,76.7,77.1
2001,79.7,5.0%,77.7,78.0,78.2,78.6,79.2,79.6,80.0,80.8,81.0,81.5,81.5,81.2
2002,81.7,2.5%,80.6,80.9,81.2,81.4,81.7,81.9,81.7,81.4,81.8,82.3,81.9,82.6
2003,85.9,5.1%,83.7,84.5,85.0,85.3,85.2,85.3,85.1,85.9,86.5,87.1,87.8,88.4
2004,93.1,8.4%,88.9,89.4,90.5,91.4,92.5,93.0,93.6,94.1,94.5,95.1,95.7,96.5
2005,100.0,7.4%,96.7,96.4,96.9,97.1,98.3,99.3,100.7,100.8,101.2,101.8,102.8,104.0
2006,106.0,6.0%,104.4,104.7,105.6,105.7,105.9,105.8,105.4,105.9,106.9,107.3,107.5,107.8
2007,107.0,0.9%,107.9,108.1,108.4,108.0,106.8,106.3,106.4,106.6,106.7,106.7,106.2,105.8
2008,103.3,-3.5%,105.1,104.9,104.5,103.8,104.1,103.0,103.3,102.7,101.8,101.4,101.6,102.0
2009,98.1,-5.0%,101.7,100.8,100.5,99.2,97.7,96.9,96.7,96.6,96.9,97.2,97.5,97.9
2010,96.4,-1.7%,97.8,97.2,96.4,95.7,95.6,95.9,96.4,96.4,96.0,96.6,96.7,97.0
2011,97.4,1.0%,97.0,96.6,96.8,97.5,97.4,97.3,97.2,97.9,97.4,97.8,97.8,97.8
2012,98.4,1.0%,96.8,96.2,96.9,97.4,97.4,97.4,98.4,99.3,99.5,99.4,99.5,99.9
2013,104.8,6.5%,100.9,101.9,102.8,103.5,103.8,103.9,104.0,104.5,105.8,107.5,108.4,108.9
2014,111.2,6.1%,109.9,110.7,111.0,109.8,109.6,108.8,111.3,112.8,113.1,111.5,112.3,112.8
2015,114.0,2.5%,113.2,113.8,114.1,113.8,113.9,114.1,114.1,113.8,113.8,114.4,114.0,114.7
2016,119.8,5.1%,114.9,115.0,116.6,117.3,118.1,118.3,119.8,121.3,122.3,123.4,124.0,124.0
